"Date","Open","High","Low","Close","MA ‌ma‌ (13,ema,0)","MA ‌ma‌ (20,ema,0,n)","MA ‌ma‌ (100,ema,0,n)","Bollinger Bands Top ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Median ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Bottom ‌Bollinger Bands‌ (20,2,ma,y)","Bullish ‌dsCandle‌"
"Wed Aug 02 2023 11:30:00 GMT+0530 (India Standard Time)","19538.20","19542.25","19517.90","19538.20","19607.97","19636.12","19690.19","19829.64","19664.98","19500.33","19538.20"
"Wed Aug 02 2023 11:45:00 GMT+0530 (India Standard Time)","19538.35","19541.80","19528.20","19536.30","19597.74","19626.62","19687.14","19825.05","19654.90","19484.75","19536.30"
"Wed Aug 02 2023 12:00:00 GMT+0530 (India Standard Time)","19536.40","19546.00","19523.45","19540.00","19589.49","19618.37","19684.23","19815.40","19644.31","19473.23","19540.00"
"Wed Aug 02 2023 12:15:00 GMT+0530 (India Standard Time)","19540.20","19543.35","19533.05","19536.45","19581.91","19610.56","19681.30","19804.06","19633.74","19463.43","19536.45"
"Wed Aug 02 2023 12:30:00 GMT+0530 (India Standard Time)","19537.35","19556.30","19535.50","19552.85","19577.76","19605.07","19678.76","19791.84","19624.66","19457.47","19552.85"
"Wed Aug 02 2023 12:45:00 GMT+0530 (India Standard Time)","19552.95","19556.50","19511.20","19512.65","19568.46","19596.27","19675.47","19778.96","19613.41","19447.87","19512.65"
"Wed Aug 02 2023 13:00:00 GMT+0530 (India Standard Time)","19512.20","19528.95","19511.35","19512.05","19560.40","19588.25","19672.23","19758.11","19601.10","19444.09",""
"Wed Aug 02 2023 13:15:00 GMT+0530 (India Standard Time)","19511.65","19512.50","19476.40","19478.45","19548.69","19577.79","19668.39","19735.69","19587.19","19438.69","19478.45"
"Wed Aug 02 2023 13:30:00 GMT+0530 (India Standard Time)","19477.85","19487.20","19442.10","19443.50","19533.67","19565.00","19663.94","19717.41","19572.62","19427.83","19443.50"
"Wed Aug 02 2023 13:45:00 GMT+0530 (India Standard Time)","19443.30","19468.45","19438.35","19448.75","19521.53","19553.93","19659.68","19691.88","19558.25","19424.61","19448.75"
"Wed Aug 02 2023 14:00:00 GMT+0530 (India Standard Time)","19448.40","19463.45","19425.70","19429.85","19508.44","19542.11","19655.13","19660.80","19542.93","19425.07","19429.85"
"Wed Aug 02 2023 14:15:00 GMT+0530 (India Standard Time)","19429.95","19444.20","19425.80","19443.35","19499.14","19532.71","19650.93","19652.32","19533.68","19415.05","19443.35"
"Wed Aug 02 2023 14:30:00 GMT+0530 (India Standard Time)","19442.80","19468.70","19442.80","19462.40","19493.89","19526.01","19647.20","19641.18","19525.76","19410.35","19462.40"
"Wed Aug 02 2023 14:45:00 GMT+0530 (India Standard Time)","19461.00","19494.95","19455.95","19491.50","19493.55","19522.72","19644.12","19623.13","19518.56","19413.99","19491.50"
"Wed Aug 02 2023 15:00:00 GMT+0530 (India Standard Time)","19490.70","19543.25","19490.70","19542.60","19500.56","19524.62","19642.11","19611.63","19515.15","19418.68","19542.60"
"Wed Aug 02 2023 15:15:00 GMT+0530 (India Standard Time)","19542.50","19545.65","19514.45","19514.80","19502.59","19523.68","19639.59","19598.89","19510.84","19422.79",""
"Thu Aug 03 2023 09:15:00 GMT+0530 (India Standard Time)","19463.75","19527.05","19439.25","19521.45","19505.29","19523.47","19637.25","19590.93","19508.06","19425.19","19521.45"
"Thu Aug 03 2023 09:30:00 GMT+0530 (India Standard Time)","19522.30","19536.65","19479.05","19494.65","19503.77","19520.72","19634.42","19583.72","19504.64","19425.56","19494.65"
"Thu Aug 03 2023 09:45:00 GMT+0530 (India Standard Time)","19496.40","19536.80","19485.60","19500.30","19503.27","19518.78","19631.77","19577.52","19501.90","19426.28","19500.30"
"Thu Aug 03 2023 10:00:00 GMT+0530 (India Standard Time)","19500.40","19500.40","19474.00","19479.80","19499.92","19515.07","19628.76","19573.31","19498.99","19424.68","19479.80"
"Thu Aug 03 2023 10:15:00 GMT+0530 (India Standard Time)","19481.45","19496.60","19468.20","19479.00","19496.93","19511.63","19625.79","19568.56","19496.03","19423.51","19479.00"
"Thu Aug 03 2023 10:30:00 GMT+0530 (India Standard Time)","19477.95","19491.15","19462.50","19475.75","19493.90","19508.21","19622.82","19563.59","19493.01","19422.43","19475.75"
"Thu Aug 03 2023 10:45:00 GMT+0530 (India Standard Time)","19477.35","19505.40","19469.40","19498.90","19494.62","19507.33","19620.37","19558.26","19490.95","19423.65","19498.90"
"Thu Aug 03 2023 11:00:00 GMT+0530 (India Standard Time)","19502.10","19515.80","19489.90","19499.40","19495.30","19506.57","19617.97","19553.26","19489.10","19424.94","19499.40"
"Thu Aug 03 2023 11:15:00 GMT+0530 (India Standard Time)","19498.80","19501.25","19484.70","19492.85","19494.95","19505.27","19615.49","19543.29","19486.10","19428.91","19492.85"
"Thu Aug 03 2023 11:30:00 GMT+0530 (India Standard Time)","19492.50","19506.80","19487.40","19500.30","19495.71","19504.79","19613.21","19541.77","19485.48","19429.19","19500.30"
"Thu Aug 03 2023 11:45:00 GMT+0530 (India Standard Time)","19500.25","19505.25","19479.75","19486.50","19494.40","19503.05","19610.70","19539.17","19484.20","19429.24","19486.50"
"Thu Aug 03 2023 12:00:00 GMT+0530 (India Standard Time)","19486.95","19488.45","19458.45","19458.55","19489.28","19498.81","19607.69","19539.26","19483.21","19427.16","19458.55"
"Thu Aug 03 2023 12:15:00 GMT+0530 (India Standard Time)","19458.95","19458.95","19416.35","19418.10","19479.11","19491.13","19603.94","19542.50","19481.94","19421.38","19418.10"
"Thu Aug 03 2023 12:30:00 GMT+0530 (India Standard Time)","19417.15","19422.05","19397.15","19398.45","19467.59","19482.30","19599.87","19548.83","19479.42","19410.02","19398.45"
"Thu Aug 03 2023 12:45:00 GMT+0530 (India Standard Time)","19398.90","19398.90","19355.40","19363.90","19452.77","19471.02","19595.20","19559.50","19476.13","19392.76","19363.90"
"Thu Aug 03 2023 13:00:00 GMT+0530 (India Standard Time)","19364.70","19369.65","19345.65","19359.45","19439.44","19460.40","19590.53","19568.82","19471.93","19375.04","19359.45"
